"","song","artist","WeekID","Peak.Position","Weeks.on.Chart","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","Month","Season","artist.pop"
"1539","Know Your Enemy","Green Day",2009-05-02,40,15,0.002,0.56,191387,0.956,6.01e-05,7,0.06,-3.585,1,0.0412,129.982,4,0.959,5,"Spring",0
"1540","Know Yourself","Drake",2015-03-07,70,20,0.19,0.735,275840,0.41,0,11,0.341,-8.735,0,0.2,114.812,4,0.164,3,"Spring",11
"1541","KOD","J. Cole",2018-05-05,10,12,0.21,0.831,191437,0.782,0,0,0.113,-6.274,1,0.15,141.869,4,0.199,5,"Spring",9
"1542","Kryptonite","3 Doors Down",2000-04-08,81,53,0.004,0.55,238300,0.904,5.6e-06,11,0.151,-4.601,0,0.0278,99.026,4,0.514,4,"Spring",0
"1543","L.O.V.E.","Ashlee Simpson",2005-11-05,78,18,0.003,0.592,153053,0.818,0.000649,5,0.622,-3.33,0,0.0643,191.917,4,0.926,11,"Fall",4
"1544","L$D","A$AP Rocky",2015-06-13,62,3,0.193,0.598,238307,0.252,0.138,2,0.099,-15.086,1,0.0647,120.06,4,0.035,6,"Summer",1
"1545","La Camisa Negra","Juanes",2005-04-09,97,13,0.084,0.751,216707,0.731,0,6,0.056,-4.419,0,0.0308,97.007,4,0.973,4,"Spring",0
"1546","La La","Ashlee Simpson",2005-02-12,98,5,0,0.529,222400,0.905,0.204,11,0.088,-3.667,0,0.0919,129.991,4,0.512,2,"Winter",2
"1547","La La La","LMFAO",2009-10-03,61,7,0.006,0.616,210560,0.811,2.17e-06,0,0.426,-6.573,0,0.118,128.026,4,0.575,10,"Fall",0
"1548","La La Land","Demi Lovato",2009-01-10,83,8,0.02,0.461,196467,0.914,0,6,0.025,-2.161,0,0.0724,170.012,4,0.724,1,"Winter",2
"1549","Labios Compartidos","Mana",2006-08-05,100,3,0.027,0.527,317627,0.898,0,0,0.069,-3.624,0,0.0367,162.058,4,0.462,8,"Summer",0
"1550","Ladies Love Country Boys","Trace Adkins",2006-12-23,90,20,0.053,0.661,221674,0.958,2.31e-05,7,0.376,-4.409,1,0.0408,116.286,4,0.96,12,"Winter",5
"1551","Lady","Lenny Kravitz",2004-12-11,73,20,0.016,0.808,255573,0.584,0.504,0,0.085,-4.469,1,0.034,111.966,4,0.798,12,"Winter",1
"1552","Laffy Taffy","D4L",2005-10-01,98,26,0.035,0.891,224253,0.439,0,7,0.093,-7.994,0,0.428,77.499,4,0.622,10,"Fall",0
"1553","Landed","Ben Folds",2005-02-19,97,2,0.056,0.413,266773,0.684,4.76e-05,10,0.244,-6.099,1,0.0291,83.199,4,0.306,2,"Winter",0
"1554","Landslide","Dixie Chicks",2002-09-21,76,29,0.562,0.574,228480,0.394,5.52e-06,2,0.163,-8.383,1,0.0274,145.978,4,0.502,9,"Fall",5
"1555","Laredo","Chris Cagle",2001-07-07,83,12,0.16,0.483,230093,0.785,0,10,0.077,-6.265,0,0.042,160.086,4,0.738,7,"Summer",1
"1556","Lark On My Go-Kart","Asher Roth",2009-05-09,95,1,0.594,0.492,174533,0.836,1e-05,2,0.114,-2.882,1,0.344,186.509,4,0.382,5,"Spring",1
"1557","Last Call","Lee Ann Womack",2009-01-31,93,9,0.797,0.568,195467,0.602,0.000501,6,0.086,-6.951,1,0.0322,79.985,4,0.391,1,"Winter",0
"1558","Last Dollar (Fly Away)","Tim McGraw",2007-03-17,96,15,0.245,0.475,245363,0.613,0,4,0.13,-4.631,1,0.0377,207.506,4,0.702,3,"Spring",6
"1559","Last Friday Night (T.G.I.F.)","Katy Perry",2010-09-11,67,24,0.002,0.667,234747,0.821,2.43e-05,3,0.678,-3.626,0,0.0381,126.032,4,0.773,9,"Fall",7
"1560","Last Kiss","Taylor Swift",2010-11-13,71,1,0.57,0.371,367133,0.341,3.09e-05,10,0.101,-9.475,1,0.0319,89.038,1,0.196,11,"Fall",14
"1561","Last Memory","TakeOff",2018-11-10,54,2,0.175,0.854,162133,0.708,0,1,0.241,-5.805,0,0.244,118.032,4,0.172,11,"Fall",0
"1562","Last Name","Carrie Underwood",2008-04-19,86,20,0.197,0.411,240893,0.876,0,3,0.096,-2.545,1,0.1055,159.871,4,0.706,4,"Spring",5
"1563","Last One Standing","Emerson Drive",2004-05-01,98,8,0.112,0.604,210827,0.84,3.52e-06,0,0.141,-5.519,1,0.0535,118.954,4,0.602,5,"Spring",2
"1564","Last Resort","Papa Roach",2000-07-29,75,20,0.001,0.573,200193,0.893,0.000484,4,0.215,-3.528,0,0.0589,90.58,4,0.698,7,"Summer",0
"1565","Last Shot","Kip Moore",2018-11-24,95,5,0.002,0.487,228480,0.859,0,4,0.322,-4.403,1,0.0488,148.037,4,0.377,11,"Fall",1
"1566","Last Time","Trey Songz",2008-04-19,95,13,0.209,0.629,261707,0.624,0,2,0.215,-7.957,1,0.0915,119.964,4,0.66,4,"Spring",1
"1567","Last Train Home","Lostprophets",2004-05-01,75,6,0.001,0.483,275173,0.787,3.35e-06,4,0.257,-5.01,0,0.0301,102.374,4,0.185,5,"Spring",0
"1568","Later On","The Swon Brothers",2014-08-30,100,9,0.054,0.411,217160,0.903,0,2,0.104,-2.948,1,0.144,180.078,4,0.614,8,"Summer",0
"1569","Laughed Until We Cried","Jason Aldean",2008-02-02,96,16,0.467,0.547,202520,0.485,0,7,0.074,-5.368,1,0.0292,145.057,4,0.243,2,"Winter",1
"1570","Lay It Down","Lloyd",2010-11-06,91,19,0.021,0.524,240107,0.793,0,1,0.082,-5.051,0,0.0629,156.052,4,0.551,11,"Fall",0
"1571","Lay Me Down","Sam Smith",2015-02-21,75,20,0.773,0.417,253208,0.332,1.95e-05,4,0.109,-9.482,1,0.0494,119.156,4,0.172,2,"Winter",3
"1572","Lazarus","David Bowie",2016-01-30,40,1,0.043,0.663,383420,0.698,0.138,9,0.086,-6.9,0,0.0288,129.962,4,0.509,1,"Winter",0
"1573","Lean Back","Terror Squad",2004-06-26,52,31,0.129,0.698,247427,0.922,0,1,0.106,-3.359,1,0.517,126.594,5,0.691,6,"Summer",0
"1574","Lean Wit Me","Juice WRLD",2018-08-18,87,8,0.041,0.665,175755,0.651,0,1,0.09,-5.515,1,0.156,163.935,4,0.237,8,"Summer",2
"1575","Learn To Let Go","Kesha",2017-08-19,97,1,0.004,0.515,217547,0.847,6.66e-05,5,0.293,-2.951,1,0.039,168.104,4,0.645,8,"Summer",1
"1576","Learning How To Bend","Gary Allan",2008-07-26,98,4,0.046,0.511,205800,0.739,0.000169,2,0.523,-4.453,1,0.0319,98.973,4,0.343,7,"Summer",3
"1577","Leave Out All The Rest","Linkin Park",2008-11-22,99,2,0.209,0.509,209307,0.629,1.99e-06,0,0.369,-6.434,1,0.0335,80.012,4,0.237,11,"Fall",4
"1578","Leave The Night On","Sam Hunt",2014-07-12,98,21,0.101,0.512,192566,0.954,0,9,0.355,-3.81,1,0.0561,171.975,4,0.858,7,"Summer",0
"1579","Leave Your Lover","Sam Smith",2014-06-07,92,1,0.948,0.415,188377,0.264,6.31e-06,4,0.106,-8.741,1,0.0475,92.879,5,0.357,6,"Summer",1
"1580","Leavin'","Jesse McCartney",2008-05-10,14,24,0.035,0.693,216880,0.709,3.4e-06,9,0.069,-5.787,1,0.0608,79.237,4,0.889,5,"Spring",2
"1581","Left Hand Free","alt-J",2014-10-11,99,1,0.462,0.697,173631,0.877,0.00943,3,0.083,-4.465,1,0.0462,101.99,4,0.802,10,"Fall",0
"1582","Left, Right, Left","Drama",2000-02-12,100,13,0.008,0.909,217427,0.517,0,4,0.142,-11.018,1,0.165,125.048,4,0.539,2,"Winter",0
"1583","Legend","Drake",2015-02-28,86,12,0.024,0.715,241853,0.561,0,1,0.077,-7.605,1,0.0721,100.076,4,0.297,2,"Winter",8
"1584","Legends","Kelsea Ballerini",2017-12-16,99,11,0.055,0.577,244467,0.727,0,4,0.089,-5.848,1,0.0319,112.041,4,0.24,12,"Winter",4
"1585","Lemonade","Gucci Mane",2010-02-20,93,12,0.643,0.741,246013,0.658,3.43e-06,7,0.307,-7.758,1,0.0853,142.057,4,0.746,2,"Winter",1
"1586","Lessons Learned","Tracy Lawrence",2000-01-29,80,20,0.167,0.669,178433,0.76,8.95e-07,5,0.233,-5.399,1,0.0265,124.545,4,0.786,1,"Winter",0
"1587","Let Her Go","Passenger",2013-08-17,95,43,0.365,0.479,252733,0.545,0,7,0.096,-7.346,1,0.0688,74.897,4,0.244,8,"Summer",0
"1588","Let It All Work Out","Lil Wayne",2018-10-13,75,1,0.022,0.552,316192,0.562,0,11,0.302,-6.862,1,0.164,135.014,4,0.439,10,"Fall",0
"1589","Let It Go","James Bay",2016-01-09,98,34,0.818,0.546,260533,0.311,1.65e-05,1,0.107,-10.396,1,0.0288,147.464,4,0.246,1,"Winter",0
"1590","Let It Go","Tim McGraw",2008-09-27,100,15,0.322,0.477,225027,0.86,0,1,0.313,-4.16,1,0.032,159.27,4,0.473,9,"Fall",5
"1591","Let Me","Pat Green",2009-02-07,99,2,0.039,0.457,230587,0.638,6.57e-05,7,0.42,-5.385,0,0.028,143.833,4,0.491,2,"Winter",1
"1592","Let Me","Zayn",2018-04-28,73,1,0.239,0.46,185373,0.566,5.93e-06,9,0.097,-5.637,1,0.0516,168.419,4,0.19,4,"Spring",0
"1593","Let Me Down Easy","Billy Currington",2010-12-11,97,20,0.362,0.61,228493,0.497,0,1,0.107,-4.885,1,0.027,125.029,4,0.163,12,"Winter",4
"1594","Let Me Go","3 Doors Down",2005-02-05,73,31,0.019,0.478,243053,0.856,0,1,0.107,-4.881,0,0.0387,91.998,4,0.454,2,"Winter",3
"1595","Let Me Love You","Mario",2004-10-23,97,36,0.235,0.656,256733,0.578,0,7,0.118,-8.97,0,0.0922,94.514,4,0.556,10,"Fall",0
"1596","Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo",2012-08-18,99,28,0.262,0.491,251627,0.676,0,5,0.499,-6.631,1,0.0403,124.852,4,0.278,8,"Summer",3
"1597","Let Me See Ya Girl","Cole Swindell",2015-08-22,94,18,0.254,0.523,187587,0.834,0,6,0.393,-3.561,1,0.0281,92.99,4,0.445,8,"Summer",3
"1598","Let Them Be Little","Billy Dean",2005-01-29,74,11,0.266,0.54,225653,0.516,0,1,0.204,-5.221,1,0.0246,135.9,4,0.285,1,"Winter",0
"1599","Let There Be Cowgirls","Chris Cagle",2013-02-09,97,3,0.089,0.537,273480,0.788,1.27e-06,11,0.164,-5.557,1,0.0362,161.991,4,0.727,2,"Winter",1
"1600","Let You Down","NF",2017-11-04,87,27,0.298,0.656,212120,0.721,0,5,0.173,-5.665,0,0.122,148.066,4,0.468,11,"Fall",0
"1601","Let's Be Us Again","Lonestar",2004-04-10,71,20,0.036,0.488,233420,0.5,0,6,0.186,-5.457,1,0.0272,137.894,4,0.335,4,"Spring",6
"1602","Let's Get Away","T.I.",2004-07-10,88,18,0.342,0.567,278720,0.826,0,10,0.135,-4.678,0,0.443,84.814,4,0.726,7,"Summer",2
"1603","Let's Get Blown","Snoop Dogg",2005-01-08,76,11,0.399,0.927,280680,0.61,0.0209,9,0.267,-4.738,0,0.207,105.943,4,0.675,1,"Winter",1
"1604","Let's Get Crazy","Hannah Montana",2009-04-11,75,3,0.002,0.724,155880,0.894,6.23e-05,7,0.352,-5.168,1,0.0525,125.031,4,0.827,4,"Spring",0
"1605","Let's Get Married","Jagged Edge",2000-05-06,77,24,0.175,0.761,263227,0.627,0,1,0.128,-5.554,1,0.0538,109.821,4,0.891,5,"Spring",1
"1606","Let's Ride","The Game",2006-12-02,46,5,0.17,0.873,237680,0.743,0,5,0.135,-5.197,1,0.209,93.621,4,0.774,12,"Winter",1
"1607","Letters From Home","John Michael Montgomery",2004-03-20,66,20,0.367,0.644,267533,0.626,5.78e-06,0,0.155,-7.243,1,0.0258,128.029,4,0.388,3,"Spring",0
"1608","Lettin' The Night Roll","Justin Moore",2014-03-08,100,20,0.087,0.542,203120,0.859,0,2,0.145,-5.137,1,0.0424,140.9,4,0.637,3,"Spring",4
"1609","Levels","Nick Jonas",2015-09-12,87,12,0.049,0.432,167693,0.656,0,5,0.256,-4.669,0,0.428,199.232,4,0.66,9,"Fall",2
"1610","Liability","Lorde",2017-04-01,78,1,0.92,0.587,171728,0.229,0,10,0.1,-11.254,0,0.128,75.67,4,0.379,4,"Spring",1
"1611","Lie","NF",2018-08-04,97,20,0.161,0.753,209213,0.66,0,5,0.236,-6.542,1,0.133,95.003,4,0.182,8,"Summer",1
"1612","Life After You","Daughtry",2009-12-19,66,20,0.057,0.415,206813,0.78,0,5,0.422,-3.352,1,0.0328,102.677,3,0.336,12,"Winter",6
"1613","Life Ain't Always Beautiful","Gary Allan",2006-05-20,96,16,0.216,0.481,224613,0.508,0.000175,2,0.105,-7.666,1,0.0248,86.013,4,0.268,5,"Spring",4
"1614","Life Changes","Thomas Rhett",2018-07-07,92,14,0.105,0.687,190227,0.842,0,7,0.044,-4.382,1,0.058,87.968,4,0.778,7,"Summer",4
"1615","Life Is Worth Living","Justin Bieber",2015-12-05,67,2,0.915,0.416,234787,0.301,0,10,0.111,-9.217,1,0.0619,75.922,4,0.494,12,"Winter",3
"1616","Life Of The Party","Shawn Mendes",2014-07-12,24,2,0.066,0.667,214533,0.614,0,10,0.111,-4.995,1,0.0314,113.979,4,0.161,7,"Summer",0
"1617","Lifeline","Papa Roach",2009-04-11,81,2,0,0.454,262927,0.857,0.000181,2,0.384,-5.005,1,0.0524,106.001,4,0.27,4,"Spring",1
"1618","Light It Up","Luke Bryan",2017-09-16,76,18,0.118,0.602,177306,0.929,0,6,0.103,-2.741,0,0.0839,130.024,4,0.677,9,"Fall",6
"1619","Light On","David Cook",2008-10-18,60,20,0.079,0.446,228827,0.834,0,9,0.114,-4.014,0,0.0341,132.034,4,0.363,10,"Fall",0
"1620","Lights And Sounds","Yellowcard",2006-02-04,76,10,0,0.344,208187,0.972,0,11,0.293,-3.675,0,0.116,167.819,4,0.387,2,"Winter",1
"1621","Lights Come On","Jason Aldean",2016-04-23,81,19,0.049,0.567,194507,0.839,0,6,0.103,-4.048,0,0.0698,160.062,4,0.903,4,"Spring",6
"1622","Lights, Camera, Action!","Mr. Cheeks",2001-10-13,99,30,0.128,0.801,261027,0.931,0,1,0.145,-6.602,1,0.0727,105.526,4,0.808,10,"Fall",0
"1623","Like A Star","Corinne Bailey Rae",2007-03-03,56,2,0.715,0.605,243213,0.226,1e-04,2,0.35,-10.617,0,0.0347,122.713,4,0.142,3,"Spring",1
"1624","Like A Wrecking Ball","Eric Church",2015-04-11,100,22,0.35,0.691,198907,0.336,0.000684,0,0.119,-10.843,1,0.0392,135.954,4,0.613,4,"Spring",7
"1625","Like Glue","Sean Paul",2003-06-07,89,20,0.081,0.757,232507,0.78,0,1,0.113,-5.038,1,0.319,97.917,4,0.59,6,"Summer",2
"1626","Like I Can","Sam Smith",2015-07-11,99,2,0.343,0.656,167066,0.627,2.17e-05,7,0.124,-6.627,0,0.0379,99.933,4,0.481,7,"Summer",4
"1627","Like I Love You","Justin Timberlake",2002-09-07,67,20,0.044,0.853,283627,0.811,0.000304,6,0.07,-4.926,0,0.0646,114.961,4,0.901,9,"Fall",0
"1628","Like I Loved You","Brett Young",2017-10-14,95,19,0.196,0.582,207187,0.568,0,1,0.084,-6.051,1,0.0297,76.025,4,0.64,10,"Fall",2
"1629","Like Jesus Does","Eric Church",2013-03-09,99,17,0.439,0.576,198733,0.355,4.55e-05,1,0.13,-8.388,1,0.033,137.232,4,0.299,3,"Spring",6
"1630","Like That","Kris Wu",2018-06-02,73,1,0.779,0.822,228662,0.447,1.34e-05,1,0.093,-10.57,0,0.127,110.049,4,0.41,6,"Summer",0
"1631","Like This","Mims",2007-05-26,91,20,0.032,0.771,203627,0.693,0,7,0.342,-7.483,1,0.293,97.163,4,0.525,5,"Spring",1
"1632","Like Toy Soldiers","Eminem",2005-01-29,64,11,0.021,0.682,295667,0.759,0.000218,1,0.1,-3.471,0,0.29,81.837,4,0.391,1,"Winter",6
"1633","Like We Never Loved At All","Faith Hill",2005-10-08,97,21,0.082,0.497,257693,0.468,0,2,0.112,-8.182,1,0.0286,133.789,4,0.285,10,"Fall",1
"1634","Like We Used To","A Rocket To The Moon",2010-10-23,91,1,0.216,0.363,203733,0.71,0,2,0.121,-3.08,1,0.0308,170.113,4,0.383,10,"Fall",0
"1635","Like Whoa","Aly & AJ",2008-02-09,92,8,0.012,0.7,150827,0.831,0.000966,6,0.095,-4.931,1,0.0681,121.003,4,0.808,2,"Winter",3
"1636","Like You","Daddy Yankee",2005-06-18,99,7,0.103,0.809,202933,0.691,0,5,0.284,-6.573,0,0.079,95.008,4,0.758,6,"Summer",1
"1637","Like You'll Never See Me Again","Alicia Keys",2007-11-24,93,24,0.174,0.562,315360,0.658,0.000285,7,0.102,-8.072,1,0.0314,127.81,4,0.268,11,"Fall",2
"1638","Lips Are Movin","Meghan Trainor",2014-11-08,93,29,0.051,0.775,182667,0.825,1.03e-06,7,0.111,-5.402,1,0.0464,139.091,4,0.95,11,"Fall",2
"1639","Lips Of An Angel","Hinder",2006-07-29,97,33,0.033,0.476,261853,0.769,0,2,0.197,-5.344,1,0.0332,129.051,4,0.287,7,"Summer",0
"1640","Lips Of An Angel","Jack Ingram",2007-02-17,94,2,0.013,0.473,227453,0.708,0,9,0.112,-4.286,1,0.0308,131.788,4,0.293,2,"Winter",0
"1641","Liquid Dreams","O-Town",2000-12-23,21,12,0.026,0.823,210400,0.7,0,0,0.053,-5.042,0,0.035,108.019,4,0.75,12,"Winter",0
"1642","Liquor","Chris Brown",2015-09-12,96,17,0.021,0.686,224907,0.342,0,5,0.111,-8.555,0,0.0447,104.995,4,0.429,9,"Fall",3
"1643","Little Bit Of Everything","Keith Urban",2013-06-01,94,20,0.239,0.619,205707,0.882,0,8,0.033,-5.99,1,0.0912,159.98,4,0.897,6,"Summer",4
"1644","Little Drummer Boy","Pentatonix",2013-12-21,13,3,0.3,0.713,255879,0.411,7.19e-05,8,0.076,-8.24,1,0.0355,134.007,4,0.626,12,"Winter",0
"1645","Little Lion Man","Mumford & Sons",2010-08-28,98,22,0.029,0.517,246973,0.481,1.79e-05,5,0.09,-8.273,1,0.0272,138.51,4,0.461,8,"Summer",0
"1646","Little Miss","Sugarland",2010-10-30,96,14,0.096,0.351,271267,0.797,4.12e-05,11,0.157,-4.286,1,0.0379,129.14,5,0.243,10,"Fall",5
"1647","Little Moments","Brad Paisley",2003-12-20,76,20,0.262,0.536,220167,0.51,2.885e-06,9,0.276,-7.749,1,0.0272,117.677,4,0.358,12,"Winter",1
"1648","Little More (Royalty)","Chris Brown",2016-01-09,91,1,0.02,0.632,260453,0.516,0,6,0.139,-8.088,1,0.035,133.71,4,0.328,1,"Winter",4
"1649","Little Red Wagon","Miranda Lambert",2015-02-28,76,11,0.03,0.584,204387,0.813,0.000197,6,0.272,-7.221,1,0.0582,95.081,4,0.774,2,"Winter",2
"1650","Little Sister","Queens Of The Stone Age",2005-02-12,97,9,0.012,0.359,174027,0.956,0.000822,1,0.511,-2.942,1,0.062,161.132,4,0.924,2,"Winter",1
"1651","Little Talks","Of Monsters And Men",2012-04-21,92,48,0.022,0.46,266600,0.786,0,1,0.133,-5.238,1,0.038,103.192,4,0.408,4,"Spring",0
"1652","Little Things","One Direction",2012-12-01,41,18,0.788,0.707,219640,0.222,0,7,0.205,-11.716,1,0.0329,110.095,4,0.556,12,"Winter",3
"1653","Little Toy Guns","Carrie Underwood",2015-03-28,99,18,0.004,0.434,210760,0.868,1.98e-06,7,0.092,-1.208,1,0.0603,161.886,4,0.204,3,"Spring",3
"1654","Little White Church","Little Big Town",2010-06-19,94,20,0.13,0.667,186240,0.878,0,10,0.16,-4.797,1,0.0445,107.024,4,0.816,6,"Summer",0
"1655","Live Like We're Dying","Kris Allen",2009-10-17,92,29,0.027,0.589,212507,0.893,0,0,0.343,-2.948,1,0.0397,92.011,4,0.94,10,"Fall",1
"1656","Live Like You Were Dying","Tim McGraw",2004-06-12,73,23,0.492,0.416,300333,0.546,0,7,0.084,-7.728,1,0.0297,159.929,4,0.418,6,"Summer",6
"1657","Live While We're Young","One Direction",2012-10-20,3,16,0.063,0.658,200187,0.837,0,2,0.097,-2.063,1,0.0543,126.015,4,0.936,10,"Fall",2
"1658","Livin' Our Love Song","Jason Michael Carroll",2007-09-15,98,17,0.287,0.488,231467,0.855,0,7,0.132,-3.417,1,0.0399,148.971,4,0.799,9,"Fall",1
"1659","Living And Living Well","George Strait",2002-04-06,75,20,0.378,0.611,212533,0.668,0.0022045,1,0.092,-7.03,1,0.0308,120.919,4,0.568,4,"Spring",5
"1660","Living For The Night","George Strait",2009-06-27,92,17,0.62,0.429,221773,0.454,0.00148,1,0.123,-6.495,1,0.0246,78.209,4,0.288,6,"Summer",7
"1661","Lo Que Me Gusta A Mi","Juanes",2006-04-15,94,1,0.058,0.678,210627,0.895,0,4,0.079,-5.339,1,0.0394,94.965,4,0.97,4,"Spring",1
"1662","Loaded","Ricky Martin",2001-06-16,97,2,0.011,0.506,233173,0.951,7.18e-05,9,0.054,-4.305,0,0.0796,199.811,4,0.748,6,"Summer",2
"1663","Location","Khalid",2017-01-28,77,43,0.33,0.736,219080,0.449,0.000162,1,0.09,-11.462,0,0.425,80.126,4,0.326,1,"Winter",0
"1664","Lollipop","Framing Hanley",2009-01-10,100,10,0,0.348,187907,0.893,6.36e-05,0,0.281,-4.589,1,0.0662,148.043,4,0.392,1,"Winter",0
"1665","London Bridge","Fergie",2006-08-05,84,21,0.214,0.748,241307,0.63,0,1,0.204,-5.832,1,0.381,90.889,4,0.61,8,"Summer",0
"1666","Lonely Boy","The Black Keys",2011-11-12,94,20,0.004,0.356,193653,0.872,0.00975,2,0.1,-7.837,1,0.068,166.3,4,0.607,11,"Fall",1
"1667","Lonely Eyes","Chris Young",2015-01-03,95,18,0.033,0.657,217413,0.674,1.88e-05,1,0.095,-5.273,1,0.0319,106.005,4,0.336,1,"Winter",2
"1668","Lonely No More","Rob Thomas",2005-02-19,78,34,0.033,0.551,226640,0.896,0,9,0.09,-3.152,0,0.109,171.79,4,0.858,2,"Winter",0
"1669","Long Black Train","Josh Turner",2003-12-13,96,18,0.228,0.472,250627,0.709,2.2e-05,10,0.114,-6.471,1,0.051,169.867,4,0.84,12,"Winter",0
"1670","Long Hot Summer","Keith Urban",2011-07-30,89,18,0.03,0.657,273587,0.785,4.62e-06,3,0.093,-8.428,1,0.037,127.987,4,0.769,7,"Summer",7
"1671","Long Live","Taylor Swift",2010-11-13,85,1,0.036,0.418,317453,0.68,7.59e-05,7,0.114,-4.3,1,0.0347,204.12,4,0.142,11,"Fall",14
"1672","Long Live A$AP","A$AP Rocky",2013-02-02,86,1,0.587,0.726,289587,0.824,1.11e-06,0,0.113,-5.011,0,0.347,129.96,4,0.384,2,"Winter",0
"1673","Long Road To Ruin","Foo Fighters",2008-02-02,100,12,0,0.401,224880,0.888,0,0,0.12,-3.793,1,0.0401,146.781,4,0.365,2,"Winter",2
"1674","Long Time Gone","Dixie Chicks",2002-06-22,67,20,0.137,0.548,247193,0.67,3.195e-06,2,0.154,-6.91,1,0.0322,169.803,4,0.798,6,"Summer",4
"1675","Long Trip Alone","Dierks Bentley",2007-03-10,99,12,0.243,0.332,223752,0.505,4.945e-06,7,0.108,-6.466,1,0.0339,184.894,4,0.218,3,"Spring",5
"1676","Long Way 2 Go","Cassie",2006-11-04,97,2,0.057,0.589,220640,0.655,0.000353,8,0.372,-8.138,1,0.0488,105.272,4,0.675,11,"Fall",1
"1677","Look After You","The Fray",2007-03-17,91,10,0.059,0.439,267533,0.591,3.69e-06,6,0.114,-3.018,0,0.032,78.016,4,0.278,3,"Spring",2
"1678","Look Alive","Rae Sremmurd",2016-09-03,76,6,0.055,0.786,228000,0.583,1.84e-06,0,0.326,-7.415,1,0.0393,120.024,4,0.229,9,"Fall",4
"1679","Look At Us","Sarina Paris",2001-02-24,99,20,0.191,0.818,209763,0.83,0.00253,1,0.076,-7.27,1,0.0327,132.979,4,0.769,2,"Winter",0
"1680","Look Back At It","A Boogie Wit da Hoodie",2018-12-22,95,2,0.407,0.791,179449,0.587,0,3,0.148,-5.075,0,0.0413,96.057,4,0.536,12,"Winter",2
"1681","Look It Up","Ashton Shepherd",2011-06-04,95,1,0.206,0.736,179013,0.709,0,5,0.06,-6.057,0,0.056,90.018,4,0.658,6,"Summer",0
"1682","Look What You Made Me Do","Taylor Swift",2017-09-09,77,19,0.204,0.766,211853,0.709,1.41e-05,9,0.126,-6.471,0,0.123,128.07,4,0.506,9,"Fall",5
"1683","Look What You've Done","Jet",2005-01-29,70,20,0.414,0.398,230880,0.547,0.00143,0,0.146,-6.846,1,0.0261,73.396,4,0.305,1,"Winter",2
"1684","Lookin' For That Girl","Tim McGraw",2014-04-05,96,4,0.005,0.499,258587,0.835,9.84e-06,6,0.126,-4.42,1,0.0332,154.058,4,0.369,4,"Spring",4
"1685","Lose It","Kane Brown",2018-06-23,98,20,0.002,0.544,178987,0.854,1.2e-06,4,0.249,-4.968,0,0.0289,91.966,4,0.436,6,"Summer",3
"1686","Lose My Breath","Destiny's Child",2004-09-25,30,23,0.007,0.814,242013,0.899,0.219,1,0.098,-5.958,1,0.0637,119.011,4,0.545,9,"Fall",1
"1687","Lose My Mind","Brett Eldredge",2015-06-27,97,20,0.021,0.68,155440,0.755,0,6,0.21,-5.509,0,0.029,101.048,4,0.824,6,"Summer",3
"1688","Lose You","Drake",2017-04-08,64,1,0.736,0.519,305374,0.576,0,4,0.371,-9.162,1,0.414,87.983,4,0.373,4,"Spring",22
"1689","Loser","3 Doors Down",2000-10-21,76,20,0.009,0.452,269813,0.902,1.38e-05,6,0.17,-5.645,0,0.0585,147.916,4,0.396,10,"Fall",1
"1690","Losin Control","Russ",2017-03-18,89,19,0.515,0.759,237507,0.245,0.000154,6,0.102,-6.545,1,0.138,96.992,4,0.209,3,"Spring",1
"1691","Losing Grip","Avril Lavigne",2003-04-26,71,6,0.001,0.534,233760,0.888,6.15e-06,8,0.077,-4.667,0,0.0972,158.368,4,0.582,4,"Spring",2
"1692","Losing Sleep","Chris Young",2017-10-14,94,19,0.072,0.584,178253,0.621,1.68e-06,1,0.389,-5.703,1,0.0443,92.003,4,0.634,10,"Fall",2
"1693","Lost","Gorilla Zoe",2009-01-24,93,11,0.016,0.722,287187,0.564,0.176,0,0.351,-7.476,0,0.0668,136.039,4,0.553,1,"Winter",0
"1694","Lost","Michael Buble",2008-04-19,97,1,0.764,0.518,219840,0.354,0.00055,11,0.114,-9.141,1,0.029,137.749,4,0.315,4,"Spring",2
"1695","Lost Boy","Ruth B",2016-03-12,75,22,0.961,0.73,276853,0.125,0,7,0.09,-9.293,1,0.0451,124.12,4,0.377,3,"Spring",0
"1696","Lost In Paradise","Evanescence",2011-10-29,99,1,0.51,0.237,283933,0.523,1.51e-05,8,0.113,-6.244,1,0.0367,112.816,4,0.128,10,"Fall",0
"1697","Lost In This Moment","Big & Rich",2007-04-07,72,20,0.32,0.599,210843,0.574,0,11,0.226,-7.363,1,0.0434,147.751,4,0.677,4,"Spring",4
"1698","Lost Without U","Robin Thicke",2006-12-23,92,23,0.226,0.664,254147,0.351,2.38e-06,0,0.106,-12.136,1,0.118,113.204,5,0.816,12,"Winter",0
"1699","Lost You Anyway","Toby Keith",2009-05-16,97,10,0.205,0.405,218267,0.744,0.0112,6,0.086,-3.791,0,0.034,150.225,4,0.367,5,"Spring",6
"1700","Lot Of Leavin' Left To Do","Dierks Bentley",2005-04-02,96,19,0.001,0.574,273056,0.871,0.02045,7,0.565,-3.778,1,0.0286,118.017,4,0.702,4,"Spring",2
